REF_DATE	Month of death	VALUE
1991	Month of death, January	17459
1991	Month of death, February	15417
1991	Month of death, March	17052
1991	Month of death, April	16042
1991	Month of death, May	16414
1991	Month of death, June	15369
1991	Month of death, July	15636
1991	Month of death, August	15504
1991	Month of death, September	15189
1991	Month of death, October	16531
1991	Month of death, November	16413
1991	Month of death, December	18543
1992	Month of death, January	18353
1992	Month of death, February	16298
1992	Month of death, March	16785
1992	Month of death, April	15931
1992	Month of death, May	16404
1992	Month of death, June	15380
1992	Month of death, July	15837
1992	Month of death, August	15737
1992	Month of death, September	15316
1992	Month of death, October	16737
1992	Month of death, November	16349
1992	Month of death, December	17408
1993	Month of death, January	18441
1993	Month of death, February	16333
1993	Month of death, March	19430
1993	Month of death, April	17473
1993	Month of death, May	16955
1993	Month of death, June	15792
1993	Month of death, July	16125
1993	Month of death, August	16234
1993	Month of death, September	15776
1993	Month of death, October	17196
1993	Month of death, November	16709
1993	Month of death, December	18448
1994	Month of death, January	20954
1994	Month of death, February	17035
1994	Month of death, March	17860
1994	Month of death, April	16589
1994	Month of death, May	16930
1994	Month of death, June	16609
1994	Month of death, July	16569
1994	Month of death, August	15919
1994	Month of death, September	16118
1994	Month of death, October	17274
1994	Month of death, November	16981
1994	Month of death, December	18239
1995	Month of death, January	19005
1995	Month of death, February	17766
1995	Month of death, March	19552
1995	Month of death, April	17785
1995	Month of death, May	17781
1995	Month of death, June	16399
1995	Month of death, July	16788
1995	Month of death, August	16403
1995	Month of death, September	16028
1995	Month of death, October	17306
1995	Month of death, November	17244
1995	Month of death, December	18676
1996	Month of death, January	19534
1996	Month of death, February	17805
1996	Month of death, March	18623
1996	Month of death, April	17547
1996	Month of death, May	17460
1996	Month of death, June	16352
1996	Month of death, July	16753
1996	Month of death, August	16739
1996	Month of death, September	16405
1996	Month of death, October	18001
1996	Month of death, November	17784
1996	Month of death, December	19877
1997	Month of death, January	21617
1997	Month of death, February	17840
1997	Month of death, March	19652
1997	Month of death, April	17998
1997	Month of death, May	17859
1997	Month of death, June	16696
1997	Month of death, July	16782
1997	Month of death, August	16593
1997	Month of death, September	16311
1997	Month of death, October	17880
1997	Month of death, November	17536
1997	Month of death, December	18905
1998	Month of death, January	20578
1998	Month of death, February	20015
1998	Month of death, March	21144
1998	Month of death, April	17706
1998	Month of death, May	17673
1998	Month of death, June	16565
1998	Month of death, July	16866
1998	Month of death, August	16763
1998	Month of death, September	16318
1998	Month of death, October	17730
1998	Month of death, November	17672
1998	Month of death, December	19061
1999	Month of death, January	21207
1999	Month of death, February	19678
1999	Month of death, March	20347
1999	Month of death, April	17551
1999	Month of death, May	17827
1999	Month of death, June	16612
1999	Month of death, July	16950
1999	Month of death, August	16810
1999	Month of death, September	16445
1999	Month of death, October	18057
1999	Month of death, November	17741
1999	Month of death, December	20305
2000	Month of death, January	22661
2000	Month of death, February	17923
2000	Month of death, March	18428
2000	Month of death, April	17326
2000	Month of death, May	17673
2000	Month of death, June	16910
2000	Month of death, July	17362
2000	Month of death, August	16962
2000	Month of death, September	16868
2000	Month of death, October	18299
2000	Month of death, November	17898
2000	Month of death, December	19752
2001	Month of death, January	20429
2001	Month of death, February	18046
2001	Month of death, March	19511
2001	Month of death, April	18170
2001	Month of death, May	18215
2001	Month of death, June	17602
2001	Month of death, July	17541
2001	Month of death, August	17676
2001	Month of death, September	16942
2001	Month of death, October	18524
2001	Month of death, November	17872
2001	Month of death, December	19010
2002	Month of death, January	20165
2002	Month of death, February	18546
2002	Month of death, March	20088
2002	Month of death, April	18314
2002	Month of death, May	18542
2002	Month of death, June	17274
2002	Month of death, July	18448
2002	Month of death, August	17983
2002	Month of death, September	17010
2002	Month of death, October	18414
2002	Month of death, November	18733
2002	Month of death, December	20086
2003	Month of death, January	20621
2003	Month of death, February	17850
2003	Month of death, March	19919
2003	Month of death, April	18414
2003	Month of death, May	18575
2003	Month of death, June	17852
2003	Month of death, July	17922
